Veids,Pakalpojums,Cena,Laiks
Stacionārais,BIOS programmēšana,50,1.25
Stacionārais,Datu atjaunošana no diska,45,1.25
Stacionārais,Gaismas lampiņas nomaiņa,60,1.5
Stacionārais,LCD displeja maiņa,35,1.25
Stacionārais,Tastatūras maiņa,85,2
Stacionārais,Pamatplates nomaiņa,30,1
Stacionārais,Pamatplates remonts,165,3.5
Stacionārais,Reballing,150,3
Stacionārais,Reballing ar čipa maiņu,200,4
Stacionārais,Barošanas ligzdas nomaiņa,40,1
Stacionārais,Tīrīšana no izlietā šķidruma,35,1.25
Stacionārais,Diska kopēšana,15,0.5
Stacionārais,"Vīrusu ārstēšana" ar bezmaksas antivīrusa uzstādīšanu,20,0.75
Stacionārais,Datora optimizācija,20,0.75
Stacionārais,Datu pārnese no vecā darba diska uz jauno,15,0.5
Stacionārais,PC profilakse,20,0.75
Stacionārais,Pilna datora pārlikšana ar datu saglabāšanu,35,1.25
Stacionārais,Darbs ar Linux/Mac OS.20,0.75
Stacionārais,Attīrīšana no putekļiem ar termopastas nomaiņu,30,1
Stacionārais,Datu saglabāšana,12,0.5
Stacionārais,Antivīrusa uzstādīšana,15,0.5
Stacionārais,Microsoft Office vai Open Office uzstādīšana,25,0.75
Stacionārais,Windows uzstādīšana (ar Jūsu licenci),25,0.75
Stacionārais,Printera instalēšanas uzstādījumi,8,0.25
Stacionārais,Multifunkcionālās ierīces instalēšana un uzstādīšana,15,0.5
Stacionārais,Citu programmu uzstādīšana,15,0.5
Stacionārais,Draiveru uzstādīšana,12,0.5
Stacionārais,Rūtera uzstādīšana (tikai darbs),30,1
Stacionārais,Windows downgrade (versijas samazināšana),30,1
Portatīvais,BIOS programmēšana,50,1.25
Portatīvais,Datu atjaunošana no diska/fleškartes,45,1.25
Portatīvais,LCD displeja maiņa,30,1
Portatīvais,Tastatūras maiņa,85,2
Portatīvais,Pamatplates nomaiņa,30,1
Portatīvais,Pamatplates remonts,165,3.5
Portatīvais,Reballing,150,3
Portatīvais,Reballing ar čipa maiņu,200,4
Portatīvais,Barošanas ligzdas nomaiņa,40,1
Portatīvais,Tīrīšana no izlietā šķidruma,35,1.25
Portatīvais,Diska kopēšana,15,0.5
Portatīvais,"Vīrusu ārstēšana" ar bezmaksas antivīrusa uzstādīšanu),20,0.75
Portatīvais,Datora optimizācija, darba ātruma palielināšana,20,0.75
Portatīvais,Datu pārnese no vecā darba diska uz jauno,15,0.5
Portatīvais,PC profilakse,20,0.75
Portatīvais,Pilna datora pārlikšana ar datu saglabāšanu,35,1.25
Portatīvais,Darbs ar Linux\Mac OS,25,0.75
Portatīvais,Attīrīšana no putekļiem ar termopastas nomaiņu,12,0.5
Portatīvais,Datu saglabāšana,15,0.5
Portatīvais,Antivīrusa uzstādīšana (tikai darbs),25,0.75
Portatīvais,Microsoft Office vai Open Office uzstādīšana,25,0.75
Portatīvais,Windows uzstādīšana (ar Jūsu licenci),8,0.25
Portatīvais,Printera instalēšanas uzstādījumi,15,0.5
Portatīvais,Multifunkcionālās ierīces instalēšana un uzstādīšana,15,0.5
