pakalpojums,cenas
BIOS programmēšana,50
Datu atjaunošana no diska/fleškartes,45
LCD displeja maiņa,30
Tastatūras maiņa,85
Pamatplates nomaiņa,30
Pamatplates remonts,165
Reballing,150
Reballing ar čipa maiņu,200
Barošanas ligzdas nomaiņa,40
Tīrīšana no izlietā šķidruma,35
Diska kopēšana,15
"Vīrusu ārstēšana" ar bezmaksas antivīrusa uzstādīšanu),20
Datora optimizācija, darba ātruma palielināšana,20
Datu pārnese no vecā darba diska uz jauno,15
PC profilakse,20
Pilna datora pārlikšana ar datu saglabāšanu,35
Darbs ar Linux\Mac OS,25
Attīrīšana no putekļiem ar termopastas nomaiņu,12
Datu saglabāšana,15
Antivīrusa uzstādīšana (tikai darbs),25
Microsoft Office vai Open Office uzstādīšana,25
Windows uzstādīšana (ar Jūsu licenci),8
Printera instalēšanas uzstādījumi,15
Multifunkcionālās ierīces instalēšana un uzstādīšana,15
